"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 08- 11","31,798,000","31,600,000","32,849,000","31,541,000","0.85K","0.63%"
"2022- 08- 10","31,600,000","31,019,000","32,015,000","30,500,000","1.09K","1.87%"
"2022- 08- 09","31,020,000","31,459,000","31,701,000","30,586,000","0.49K","-1.40%"
"2022- 08- 08","31,459,000","30,707,000","31,900,000","30,701,000","5.64K","2.45%"
"2022- 08- 07","30,707,000","30,490,000","30,893,000","30,450,000","1.01K","0.71%"
"2022- 08- 06","30,490,000","30,774,000","30,862,000","30,460,000","0.62K","-0.92%"
"2022- 08- 05","30,774,000","30,310,000","30,965,000","30,250,000","1.39K","1.53%"
"2022- 08- 04","30,310,000","30,676,000","31,007,000","30,135,000","1.27K","-1.23%"
"2022- 08- 03","30,689,000","30,772,000","31,416,000","30,447,000","1.66K","-0.27%"
"2022- 08- 02","30,772,000","30,862,000","31,075,000","30,195,000","1.72K","-0.29%"
"2022- 08- 01","30,862,000","30,745,000","31,072,000","30,412,000","1.24K","0.37%"
"2022- 07- 31","30,749,000","31,272,000","31,790,000","30,729,000","1.60K","-1.64%"
"2022- 07- 30","31,263,000","31,423,000","32,485,000","31,191,000","1.66K","-0.49%"
"2022- 07- 29","31,416,000","31,234,000","31,925,000","30,927,000","1.78K","0.58%"
"2022- 07- 28","31,235,000","30,187,000","31,582,000","29,830,000","2.11K","3.47%"
"2022- 07- 27","30,187,000","28,385,000","30,465,000","28,148,000","2.73K","6.37%"
"2022- 07- 26","28,380,000","28,508,000","28,550,000","27,692,000","1.67K","-0.45%"
"2022- 07- 25","28,508,000","29,818,000","29,918,000","28,435,000","2.05K","-4.39%"
"2022- 07- 24","29,818,000","29,716,000","30,219,000","29,505,000","1.38K","0.30%"
"2022- 07- 23","29,729,000","30,058,000","30,279,000","29,185,000","0.99K","-1.09%"
"2022- 07- 22","30,058,000","30,438,000","31,200,000","29,860,000","1.95K","-1.25%"
"2022- 07- 21","30,438,000","30,496,000","30,847,000","29,583,000","2.29K","-0.14%"
"2022- 07- 20","30,482,000","30,702,000","31,798,000","30,160,000","2.71K","-0.72%"
"2022- 07- 19","30,702,000","29,407,000","31,093,000","28,480,000","3.14K","4.40%"
"2022- 07- 18","29,408,000","27,494,000","29,664,000","27,450,000","2.67K","7.01%"
"2022- 07- 17","27,482,000","27,865,000","28,455,000","27,425,000","1.20K","-1.37%"
"2022- 07- 16","27,865,000","27,608,000","28,397,000","27,117,000","1.34K","0.99%"
"2022- 07- 15","27,593,000","27,117,000","27,778,000","26,891,000","6.39K","1.80%"
"2022- 07- 14","27,106,000","26,628,000","27,500,000","26,084,000","2.52K","1.80%"
"2022- 07- 13","26,628,000","25,704,000","26,698,000","25,207,000","2.20K","3.59%"
"2022- 07- 12","25,704,000","26,450,000","26,529,000","25,608,000","2.01K","-2.82%"
"2022- 07- 11","26,450,000","27,326,000","27,337,000","26,406,000","1.72K","-3.21%"
"2022- 07- 10","27,326,000","28,207,000","28,216,000","27,166,000","1.60K","-3.12%"
"2022- 07- 09","28,207,000","28,268,000","28,618,000","27,952,000","1.38K","-0.22%"
"2022- 07- 08","28,268,000","28,138,000","29,003,000","27,773,000","3.16K","0.45%"
"2022- 07- 07","28,141,000","26,947,000","28,350,000","26,577,000","2.77K","4.43%"
"2022- 07- 06","26,947,000","26,534,000","27,039,000","26,119,000","1.62K","1.56%"
"2022- 07- 05","26,534,000","26,424,000","27,247,000","25,530,000","1.95K","0.42%"
"2022- 07- 04","26,424,000","25,432,000","26,540,000","25,102,000","1.19K","3.90%"
"2022- 07- 03","25,432,000","25,433,000","25,870,000","24,973,000","0.55K","0.00%"
"2022- 07- 02","25,432,000","25,536,000","25,663,000","25,162,000","0.36K","-0.42%"
"2022- 07- 01","25,539,000","26,000,000","27,162,000","25,071,000","0.83K","-1.80%"
"2022- 06- 30","26,008,000","26,528,000","26,591,000","24,641,000","1.59K","-1.96%"
"2022- 06- 29","26,528,000","26,560,000","26,750,000","26,130,000","1.04K","-0.11%"
"2022- 06- 28","26,558,000","27,030,000","27,421,000","26,425,000","1.07K","-1.72%"
"2022- 06- 27","27,024,000","27,429,000","27,850,000","26,813,000","0.69K","-1.51%"
"2022- 06- 26","27,438,000","27,849,000","28,325,000","27,396,000","1.08K","-1.48%"
"2022- 06- 25","27,849,000","27,611,000","27,963,000","27,256,000","0.86K","0.90%"
"2022- 06- 24","27,601,000","27,407,000","27,905,000","26,934,000","1.23K","0.71%"
"2022- 06- 23","27,407,000","26,156,000","27,467,000","26,074,000","1.31K","4.77%"
"2022- 06- 22","26,158,000","26,995,000","27,190,000","25,963,000","1.67K","-3.10%"
"2022- 06- 21","26,995,000","26,638,000","27,976,000","26,482,000","1.42K","1.34%"
"2022- 06- 20","26,638,000","26,656,000","27,171,000","25,600,000","1.89K","-0.13%"
"2022- 06- 19","26,674,000","25,027,000","26,955,000","23,764,000","2.39K","6.57%"
"2022- 06- 18","25,030,000","26,971,000","27,318,000","23,796,000","3.32K","-7.16%"
"2022- 06- 17","26,961,000","26,807,000","27,872,000","26,543,000","0.86K","0.57%"
"2022- 06- 16","26,807,000","29,199,000","29,588,000","26,612,000","2.17K","-8.19%"
"2022- 06- 15","29,199,000","28,825,000","29,477,000","26,612,000","3.71K","1.30%"
"2022- 06- 14","28,825,000","29,306,000","30,121,000","27,261,000","1.89K","-1.65%"
"2022- 06- 13","29,308,000","34,624,000","35,025,000","28,734,000","3.23K","-15.37%"
"2022- 06- 12","34,629,000","37,062,000","37,164,000","34,617,000","1.19K","-6.56%"
"2022- 06- 11","37,062,000","37,652,000","37,933,000","36,626,000","0.95K","-1.62%"
"2022- 06- 10","37,671,000","38,252,000","38,527,000","37,443,000","0.79K","-1.48%"
"2022- 06- 09","38,238,000","38,508,000","38,823,000","38,117,000","0.43K","-0.70%"
"2022- 06- 08","38,508,000","39,368,000","39,564,000","38,037,000","0.59K","-2.18%"
"2022- 06- 07","39,368,000","39,569,000","39,735,000","37,416,000","1.65K","-0.56%"
"2022- 06- 06","39,589,000","38,005,000","39,942,000","37,975,000","0.62K","4.17%"
"2022- 06- 05","38,005,000","37,906,000","38,202,000","37,600,000","0.38K","0.26%"
"2022- 06- 04","37,906,000","37,856,000","38,092,000","37,602,000","0.22K","0.13%"
"2022- 06- 03","37,856,000","38,346,000","38,555,000","37,305,000","0.41K","-1.27%"
"2022- 06- 02","38,344,000","37,845,000","38,656,000","37,558,000","0.66K","1.32%"
"2022- 06- 01","37,843,000","39,900,000","40,089,000","37,533,000","2.13K","-5.16%"
"2022- 05- 31","39,900,000","39,575,000","40,593,000","39,323,000","0.89K","0.79%"
"2022- 05- 30","39,589,000","37,425,000","40,000,000","37,196,000","1.39K","5.78%"
"2022- 05- 29","37,427,000","36,981,000","37,609,000","36,794,000","1.10K","1.21%"
"2022- 05- 28","36,981,000","36,798,000","37,311,000","36,576,000","1.15K","0.53%"
"2022- 05- 27","36,787,000","37,595,000","37,764,000","36,336,000","1.56K","-2.15%"
"2022- 05- 26","37,595,000","37,863,000","38,157,000","36,300,000","2.17K","-0.71%"
"2022- 05- 25","37,863,000","37,747,000","38,344,000","37,525,000","1.08K","0.33%"
"2022- 05- 24","37,739,000","37,336,000","37,988,000","36,682,000","1.45K","1.08%"
"2022- 05- 23","37,336,000","38,916,000","39,175,000","37,112,000","1.47K","-4.06%"
"2022- 05- 22","38,916,000","38,001,000","39,132,000","37,832,000","1.36K","2.41%"
"2022- 05- 21","38,002,000","37,743,000","38,229,000","37,543,000","1.16K","0.69%"
"2022- 05- 20","37,743,000","38,751,000","39,242,000","37,210,000","1.57K","-2.61%"
"2022- 05- 19","38,755,000","36,891,000","38,998,000","36,851,000","1.54K","4.98%"
"2022- 05- 18","36,917,000","39,166,000","39,320,000","36,825,000","1.38K","-5.74%"
"2022- 05- 17","39,166,000","39,141,000","39,825,000","38,200,000","1.64K","0.06%"
"2022- 05- 16","39,141,000","40,884,000","40,888,000","38,456,000","1.15K","-4.28%"
"2022- 05- 15","40,890,000","39,899,000","40,950,000","39,186,000","0.82K","2.48%"
"2022- 05- 14","39,899,000","38,995,000","40,115,000","38,277,000","0.67K","2.29%"
"2022- 05- 13","39,004,000","38,557,000","40,747,000","38,145,000","1.33K","1.16%"
"2022- 05- 12","38,557,000","39,509,000","40,852,000","36,500,000","2.08K","-2.46%"
"2022- 05- 11","39,531,000","40,886,000","42,605,000","38,478,000","1.92K","-3.32%"
"2022- 05- 10","40,889,000","40,658,000","43,050,000","40,000,000","2.31K","0.58%"
"2022- 05- 09","40,652,000","44,681,000","44,985,000","40,398,000","3.11K","-9.02%"
"2022- 05- 08","44,681,000","46,449,000","46,475,000","44,575,000","1.16K","-3.86%"
"2022- 05- 07","46,474,000","46,964,000","47,200,000","46,001,000","0.92K","-1.08%"
"2022- 05- 06","46,982,000","47,588,000","47,734,000","46,125,000","1.07K","-1.25%"
"2022- 05- 05","47,575,000","50,595,000","50,821,000","47,199,000","2.54K","-5.97%"
"2022- 05- 04","50,595,000","48,697,000","50,984,000","48,625,000","1.40K","3.94%"
"2022- 05- 03","48,677,000","49,453,000","49,621,000","48,521,000","1.09K","-1.57%"
"2022- 05- 02","49,453,000","49,357,000","50,125,000","49,041,000","1.18K","0.22%"
"2022- 05- 01","49,343,000","49,239,000","49,588,000","48,470,000","1.06K","0.21%"
"2022- 04- 30","49,239,000","49,735,000","49,999,000","49,181,000","1.04K","-0.96%"
"2022- 04- 29","49,715,000","50,543,000","50,712,000","49,400,000","1.51K","-1.65%"
"2022- 04- 28","50,549,000","49,915,000","51,169,000","49,667,000","1.53K","1.26%"
"2022- 04- 27","49,918,000","48,720,000","50,067,000","48,570,000","1.16K","2.48%"
"2022- 04- 26","48,710,000","50,623,000","51,147,000","48,202,000","1.29K","-3.80%"
"2022- 04- 25","50,633,000","49,617,000","50,897,000","48,560,000","1.44K","2.02%"
"2022- 04- 24","49,629,000","49,723,000","50,116,000","49,247,000","0.93K","-0.14%"
"2022- 04- 23","49,699,000","49,942,000","50,287,000","49,437,000","0.71K","-0.49%"
"2022- 04- 22","49,942,000","50,878,000","50,977,000","49,395,000","1.04K","-1.84%"
"2022- 04- 21","50,878,000","51,402,000","53,050,000","50,300,000","0.95K","-1.05%"
"2022- 04- 20","51,420,000","51,444,000","52,339,000","51,035,000","0.80K","-0.05%"
"2022- 04- 19","51,446,000","50,767,000","51,768,000","50,428,000","0.49K","1.34%"
"2022- 04- 18","50,767,000","49,862,000","51,186,000","48,523,000","0.85K","1.82%"
"2022- 04- 17","49,862,000","50,443,000","50,600,000","49,714,000","0.63K","-1.15%"
"2022- 04- 16","50,443,000","50,702,000","50,802,000","50,132,000","0.51K","-0.53%"
"2022- 04- 15","50,714,000","49,947,000","50,796,000","49,780,000","0.41K","1.54%"
"2022- 04- 14","49,947,000","51,394,000","51,619,000","49,610,000","0.78K","-2.85%"
"2022- 04- 13","51,410,000","50,420,000","51,658,000","49,740,000","1.13K","2.00%"
"2022- 04- 12","50,402,000","49,884,000","51,024,000","49,385,000","1.14K","1.04%"
"2022- 04- 11","49,884,000","52,763,000","52,987,000","49,594,000","1.29K","-5.45%"
"2022- 04- 10","52,762,000","53,281,000","53,849,000","52,342,000","0.81K","-0.97%"
"2022- 04- 09","53,281,000","52,892,000","53,331,000","52,670,000","0.49K","0.70%"
"2022- 04- 08","52,910,000","53,813,000","54,593,000","52,753,000","0.80K","-1.67%"
"2022- 04- 07","53,808,000","53,025,000","54,341,000","52,777,000","0.81K","1.49%"
"2022- 04- 06","53,020,000","56,149,000","56,165,000","53,000,000","1.24K","-5.57%"
"2022- 04- 05","56,149,000","57,030,000","57,520,000","56,028,000","1.02K","-1.54%"
"2022- 04- 04","57,026,000","56,651,000","57,300,000","55,516,000","1.20K","0.66%"
"2022- 04- 03","56,651,000","56,052,000","57,500,000","55,805,000","0.27K","1.07%"
"2022- 04- 02","56,051,000","56,492,000","57,361,000","55,825,000","0.92K","-0.80%"
"2022- 04- 01","56,502,000","55,459,000","56,802,000","54,278,000","1.18K","1.91%"
"2022- 03- 31","55,442,000","56,699,000","57,185,000","55,232,000","1.34K","-2.17%"
"2022- 03- 30","56,674,000","57,044,000","57,085,000","56,098,000","1.22K","-0.65%"
"2022- 03- 29","57,047,000","56,884,000","57,618,000","56,433,000","1.39K","0.31%"
"2022- 03- 28","56,868,000","55,930,000","57,713,000","55,815,000","1.31K","1.67%"
"2022- 03- 27","55,936,000","54,002,000","56,183,000","53,718,000","2.02K","3.58%"
"2022- 03- 26","54,002,000","53,889,000","54,223,000","53,482,000","0.48K","0.21%"
"2022- 03- 25","53,889,000","52,886,000","54,328,000","52,680,000","0.90K","1.90%"
"2022- 03- 24","52,886,000","52,150,000","53,200,000","51,820,000","1.35K","1.41%"
"2022- 03- 23","52,150,000","51,753,000","52,260,000","51,043,000","1.10K","0.76%"
"2022- 03- 22","51,755,000","50,101,000","52,347,000","49,947,000","1.09K","3.34%"
"2022- 03- 21","50,081,000","50,493,000","50,765,000","49,783,000","0.92K","-0.85%"
"2022- 03- 20","50,510,000","51,242,000","51,350,000","50,170,000","0.95K","-1.38%"
"2022- 03- 19","51,218,000","50,739,000","51,296,000","50,605,000","0.63K","0.95%"
"2022- 03- 18","50,737,000","50,060,000","51,165,000","49,356,000","1.16K","1.40%"
"2022- 03- 17","50,035,000","50,456,000","50,800,000","49,593,000","0.58K","-0.83%"
"2022- 03- 16","50,452,000","48,590,000","51,282,000","48,421,000","1.33K","3.80%"
"2022- 03- 15","48,604,000","49,159,000","49,288,000","47,777,000","1.14K","-1.13%"
"2022- 03- 14","49,159,000","47,425,000","49,480,000","47,113,000","0.99K","3.67%"
"2022- 03- 13","47,417,000","48,471,000","48,869,000","47,300,000","0.88K","-2.21%"
"2022- 03- 12","48,489,000","48,232,000","48,998,000","48,130,000","0.45K","0.53%"
"2022- 03- 11","48,232,000","48,905,000","49,889,000","47,750,000","0.73K","-1.38%"
"2022- 03- 10","48,905,000","51,571,000","51,772,000","48,210,000","0.78K","-5.22%"
"2022- 03- 09","51,596,000","48,197,000","52,231,000","48,141,000","0.95K","7.05%"
"2022- 03- 08","48,199,000","47,387,000","48,757,000","47,283,000","0.43K","1.69%"
"2022- 03- 07","47,399,000","47,776,000","48,824,000","46,478,000","1.36K","-0.79%"
"2022- 03- 06","47,777,000","48,620,000","48,993,000","47,210,000","1.19K","-1.73%"
"2022- 03- 05","48,620,000","48,406,000","48,835,000","47,900,000","0.58K","0.43%"
"2022- 03- 04","48,411,000","51,780,000","51,875,000","48,077,000","1.37K","-6.51%"
"2022- 03- 03","51,780,000","53,398,000","53,700,000","51,121,000","1.25K","-3.03%"
"2022- 03- 02","53,398,000","53,800,000","54,697,000","52,720,000","0.76K","-0.74%"
"2022- 03- 01","53,798,000","52,173,000","54,645,000","51,904,000","1.02K","3.16%"
"2022- 02- 28","52,152,000","46,275,000","52,970,000","46,059,000","2.47K","12.64%"
"2022- 02- 27","46,299,000","47,766,000","48,500,000","45,645,000","1.42K","-3.10%"
"2022- 02- 26","47,779,000","47,807,000","48,833,000","47,151,000","0.70K","-0.08%"
"2022- 02- 25","47,818,000","46,816,000","48,438,000","46,440,000","1.25K","2.14%"
"2022- 02- 24","46,816,000","45,431,000","48,092,000","42,524,000","2.19K","3.05%"
"2022- 02- 23","45,431,000","46,441,000","47,472,000","45,120,000","1.27K","-2.15%"
"2022- 02- 22","46,429,000","45,340,000","46,612,000","44,679,000","1.30K","2.40%"
"2022- 02- 21","45,340,000","47,063,000","48,102,000","45,038,000","1.63K","-3.66%"
"2022- 02- 20","47,063,000","49,046,000","49,074,000","46,600,000","0.63K","-4.10%"
"2022- 02- 19","49,074,000","48,945,000","49,169,000","48,226,000","0.12K","0.29%"
"2022- 02- 18","48,932,000","49,277,000","50,056,000","48,328,000","1.05K","-0.70%"
"2022- 02- 17","49,277,000","53,173,000","53,426,000","49,059,000","1.43K","-7.34%"
"2022- 02- 16","53,183,000","53,691,000","53,714,000","52,728,000","1.02K","-0.97%"
"2022- 02- 15","53,706,000","51,604,000","53,905,000","51,432,000","1.35K","4.07%"
"2022- 02- 14","51,607,000","51,457,000","52,000,000","50,621,000","1.03K","0.29%"
"2022- 02- 13","51,457,000","51,597,000","52,112,000","51,150,000","0.89K","-0.27%"
"2022- 02- 12","51,595,000","51,792,000","52,296,000","50,800,000","0.85K","-0.38%"
"2022- 02- 11","51,792,000","53,004,000","53,222,000","51,157,000","1.47K","-2.29%"
"2022- 02- 10","53,004,000","53,551,000","55,280,000","52,586,000","1.69K","-1.02%"
"2022- 02- 09","53,551,000","53,710,000","53,977,000","52,500,000","1.28K","-0.27%"
"2022- 02- 08","53,698,000","53,462,000","55,269,000","52,222,000","1.53K","0.42%"
"2022- 02- 07","53,471,000","51,745,000","54,059,000","51,046,000","1.39K","3.34%"
"2022- 02- 06","51,745,000","50,734,000","52,000,000","50,367,000","0.83K","1.99%"
"2022- 02- 05","50,734,000","50,604,000","51,383,000","50,163,000","0.69K","0.26%"
"2022- 02- 04","50,604,000","45,750,000","50,778,000","45,430,000","1.45K","10.60%"
"2022- 02- 03","45,754,000","45,429,000","45,804,000","44,726,000","1.17K","0.70%"
"2022- 02- 02","45,437,000","47,773,000","47,873,000","45,351,000","1.50K","-4.87%"
"2022- 02- 01","47,762,000","47,194,000","48,152,000","46,857,000","1.65K","1.15%"
"2022- 01- 31","47,219,000","47,178,000","47,578,000","45,531,000","0.68K","0.08%"
"2022- 01- 30","47,180,000","47,200,000","47,484,000","46,517,000","0.45K","-0.04%"
"2022- 01- 29","47,200,000","46,632,000","47,672,000","46,120,000","0.46K","1.27%"
"2022- 01- 28","46,606,000","45,750,000","46,843,000","45,024,000","0.67K","1.82%"
"2022- 01- 27","45,775,000","45,026,000","45,784,000","43,697,000","0.96K","1.66%"
"2022- 01- 26","45,026,000","44,868,000","47,384,000","44,404,000","1.89K","0.34%"
"2022- 01- 25","44,872,000","44,726,000","45,467,000","43,440,000","1.20K","0.33%"
"2022- 01- 24","44,726,000","44,272,000","45,534,000","40,813,000","2.64K","1.03%"
"2022- 01- 23","44,272,000","43,452,000","44,502,000","42,715,000","0.82K","1.89%"
"2022- 01- 22","43,452,000","45,242,000","45,503,000","42,666,000","1.41K","-3.92%"
"2022- 01- 21","45,225,000","49,656,000","49,945,000","44,499,000","2.03K","-8.94%"
"2022- 01- 20","49,665,000","50,236,000","52,273,000","49,562,000","1.36K","-1.14%"
"2022- 01- 19","50,237,000","51,132,000","51,350,000","49,884,000","0.59K","-1.75%"
"2022- 01- 18","51,132,000","51,454,000","51,594,000","50,156,000","1.21K","-0.58%"
"2022- 01- 17","51,430,000","52,079,000","52,228,000","50,761,000","0.94K","-1.25%"
"2022- 01- 16","52,079,000","52,303,000","52,530,000","51,888,000","0.60K","-0.43%"
"2022- 01- 15","52,302,000","52,219,000","52,843,000","51,820,000","0.39K","0.11%"
"2022- 01- 14","52,247,000","51,756,000","52,650,000","51,000,000","0.60K","0.98%"
"2022- 01- 13","51,739,000","53,338,000","53,877,000","51,690,000","1.23K","-3.06%"
"2022- 01- 12","53,373,000","52,334,000","53,859,000","51,680,000","0.56K","1.99%"
"2022- 01- 11","52,334,000","51,187,000","52,497,000","50,399,000","1.01K","2.29%"
"2022- 01- 10","51,163,000","51,700,000","51,960,000","48,868,000","0.83K","-1.03%"
"2022- 01- 09","51,694,000","52,141,000","52,615,000","51,053,000","0.54K","-0.86%"
"2022- 01- 08","52,141,000","51,356,000","52,661,000","50,772,000","0.61K","1.53%"
"2022- 01- 07","51,356,000","53,245,000","53,341,000","50,739,000","0.41K","-3.55%"
"2022- 01- 06","53,245,000","53,773,000","54,237,000","52,357,000","0.41K","-1.01%"
"2022- 01- 05","53,788,000","56,030,000","57,059,000","52,730,000","1.22K","-4.00%"
"2022- 01- 04","56,030,000","56,617,000","57,649,000","55,900,000","0.43K","-1.05%"
"2022- 01- 03","56,626,000","57,496,000","57,764,000","56,011,000","0.41K","-1.51%"
"2022- 01- 02","57,496,000","57,988,000","58,198,000","57,100,000","0.22K","-0.85%"
"2022- 01- 01","57,989,000","56,686,000","58,279,000","56,643,000","0.51K","2.38%"
"2021- 12- 31","56,641,000","57,155,000","58,865,000","56,001,000","0.59K","-0.90%"
"2021- 12- 30","57,155,000","56,989,000","58,198,000","56,258,000","2.86K","0.29%"
"2021- 12- 29","56,989,000","58,277,000","58,659,000","56,590,000","1.30K","-2.21%"
"2021- 12- 28","58,278,000","61,400,000","61,412,000","57,900,000","0.60K","-5.08%"
"2021- 12- 27","61,400,000","61,415,000","62,495,000","60,865,000","0.49K","-0.03%"
"2021- 12- 26","61,418,000","61,117,000","61,940,000","60,354,000","0.59K","0.45%"
"2021- 12- 25","61,141,000","61,935,000","62,432,000","61,080,000","0.43K","-1.28%"
"2021- 12- 24","61,935,000","61,480,000","62,829,000","61,224,000","0.54K","0.74%"
"2021- 12- 23","61,480,000","59,600,000","61,860,000","58,991,000","0.79K","3.13%"
"2021- 12- 22","59,614,000","59,951,000","60,584,000","59,513,000","0.54K","-0.51%"
"2021- 12- 21","59,920,000","57,779,000","60,465,000","57,330,000","0.53K","3.66%"
"2021- 12- 20","57,803,000","58,284,000","58,499,000","56,837,000","0.56K","-0.83%"
"2021- 12- 19","58,284,000","58,310,000","59,661,000","57,997,000","0.47K","-0.04%"
"2021- 12- 18","58,310,000","57,914,000","58,799,000","57,102,000","0.39K","0.68%"
"2021- 12- 17","57,914,000","59,547,000","59,948,000","57,243,000","0.73K","-2.74%"
"2021- 12- 16","59,547,000","61,046,000","61,502,000","59,323,000","0.68K","-2.46%"
"2021- 12- 15","61,046,000","59,765,000","61,936,000","58,508,000","0.87K","2.25%"
"2021- 12- 14","59,705,000","58,417,000","60,000,000","57,201,000","0.63K","2.20%"
"2021- 12- 13","58,417,000","61,984,000","62,079,000","58,000,000","0.75K","-5.66%"
"2021- 12- 12","61,924,000","61,412,000","62,841,000","60,864,000","0.48K","0.84%"
"2021- 12- 11","61,410,000","59,663,000","61,490,000","59,500,000","0.49K","2.86%"
"2021- 12- 10","59,705,000","59,191,000","61,901,000","58,990,000","0.73K","0.67%"
"2021- 12- 09","59,307,000","62,073,000","62,350,000","59,050,000","0.80K","-4.44%"
"2021- 12- 08","62,063,000","63,063,000","63,299,000","60,500,000","0.42K","-1.59%"
"2021- 12- 07","63,063,000","62,586,000","63,999,000","62,246,000","0.55K","0.74%"
"2021- 12- 06","62,600,000","61,741,000","62,981,000","58,955,000","0.73K","1.39%"
"2021- 12- 05","61,741,000","62,012,000","63,250,000","59,639,000","0.68K","-0.57%"
"2021- 12- 04","62,092,000","67,962,000","68,060,000","57,000,000","0.80K","-8.64%"
"2021- 12- 03","67,962,000","70,204,000","70,904,000","66,890,000","0.90K","-3.19%"
"2021- 12- 02","70,204,000","70,915,000","71,350,000","69,550,000","0.41K","-1.00%"
"2021- 12- 01","70,915,000","70,600,000","72,007,000","70,250,000","0.12K","0.49%"
"2021- 11- 30","70,566,000","72,203,000","73,040,000","70,000,000","1.20K","-2.26%"
"2021- 11- 29","72,200,000","72,299,000","73,148,000","71,349,000","0.90K","-0.08%"
"2021- 11- 28","72,260,000","70,140,000","72,656,000","68,531,000","0.79K","3.02%"
"2021- 11- 27","70,141,000","68,329,000","70,295,000","68,059,000","0.70K","2.65%"
"2021- 11- 26","68,329,000","73,128,000","73,499,000","67,986,000","1.34K","-6.58%"
"2021- 11- 25","73,138,000","71,670,000","73,950,000","71,066,000","1.14K","2.05%"
"2021- 11- 24","71,670,000","71,617,000","72,340,000","70,050,000","1.19K","0.07%"
"2021- 11- 23","71,618,000","70,421,000","71,995,000","69,400,000","1.14K","1.71%"
"2021- 11- 22","70,416,000","72,963,000","73,429,000","70,051,000","1.39K","-3.49%"
"2021- 11- 21","72,963,000","73,781,000","74,176,000","72,599,000","0.80K","-1.09%"
"2021- 11- 20","73,764,000","71,786,000","74,000,000","71,374,000","1.07K","2.76%"
"2021- 11- 19","71,782,000","70,388,000","72,218,000","69,032,000","0.84K","1.98%"
"2021- 11- 18","70,388,000","73,952,000","74,396,000","69,846,000","1.78K","-4.83%"
"2021- 11- 17","73,962,000","73,882,000","74,581,000","71,822,000","1.10K","0.11%"
"2021- 11- 16","73,884,000","77,530,000","77,558,000","73,126,000","1.10K","-4.74%"
"2021- 11- 15","77,559,000","79,352,000","80,111,000","77,240,000","1.09K","-2.28%"
"2021- 11- 14","79,372,000","77,860,000","79,372,000","77,448,000","0.95K","1.94%"
"2021- 11- 13","77,860,000","78,169,000","78,820,000","77,120,000","0.56K","-0.41%"
"2021- 11- 12","78,179,000","78,860,000","79,133,000","76,601,000","1.00K","-0.84%"
"2021- 11- 11","78,842,000","79,520,000","79,670,000","78,400,000","1.10K","-0.85%"
"2021- 11- 10","79,520,000","80,730,000","82,425,000","77,983,000","2.18K","-1.50%"
"2021- 11- 09","80,729,000","81,504,000","82,475,000","79,815,000","1.34K","-0.95%"
"2021- 11- 08","81,504,000","76,666,000","81,650,000","76,650,000","1.29K","6.28%"
"2021- 11- 07","76,685,000","74,559,000","76,700,000","74,473,000","0.91K","2.84%"
"2021- 11- 06","74,569,000","74,100,000","74,600,000","73,698,000","0.79K","0.62%"
"2021- 11- 05","74,108,000","73,757,000","74,945,000","73,207,000","1.06K","0.48%"
"2021- 11- 04","73,757,000","74,656,000","74,846,000","73,322,000","1.25K","-1.23%"
"2021- 11- 03","74,674,000","74,162,000","74,994,000","72,132,000","1.43K","0.69%"
"2021- 11- 02","74,162,000","72,385,000","75,500,000","72,007,000","1.19K","2.40%"
"2021- 11- 01","72,422,000","72,574,000","73,900,000","71,030,000","0.94K","-0.21%"
"2021- 10- 31","72,574,000","73,681,000","74,500,000","71,824,000","0.81K","-1.49%"
"2021- 10- 30","73,668,000","74,654,000","74,728,000","72,931,000","1.24K","-1.30%"
"2021- 10- 29","74,641,000","73,029,000","75,452,000","72,530,000","1.72K","2.32%"
"2021- 10- 28","72,947,000","71,612,000","74,630,000","70,727,000","1.77K","1.82%"
"2021- 10- 27","71,646,000","73,004,000","73,866,000","70,420,000","1.32K","-1.87%"
"2021- 10- 26","73,012,000","76,280,000","76,442,000","72,796,000","1.61K","-4.28%"
"2021- 10- 25","76,280,000","74,471,000","76,964,000","74,265,000","1.03K","2.44%"
"2021- 10- 24","74,465,000","74,874,000","75,393,000","73,480,000","1.18K","-0.55%"
"2021- 10- 23","74,875,000","74,283,000","75,418,000","73,200,000","0.90K","0.80%"
"2021- 10- 22","74,283,000","76,193,000","77,355,000","73,750,000","1.55K","-2.51%"
"2021- 10- 21","76,196,000","79,644,000","80,460,000","76,146,000","1.62K","-4.31%"
"2021- 10- 20","79,630,000","78,715,000","81,200,000","77,777,000","1.48K","1.16%"
"2021- 10- 19","78,715,000","76,469,000","78,959,000","75,656,000","1.57K","2.90%"
"2021- 10- 18","76,494,000","75,952,000","77,000,000","74,000,000","0.92K","0.71%"
"2021- 10- 17","75,952,000","74,805,000","76,176,000","73,734,000","1.39K","1.53%"
"2021- 10- 16","74,805,000","75,707,000","76,144,000","73,926,000","0.99K","-1.19%"
"2021- 10- 15","75,707,000","69,753,000","76,605,000","69,352,000","1.76K","8.54%"
"2021- 10- 14","69,753,000","69,925,000","71,300,000","69,101,000","1.20K","-0.25%"
"2021- 10- 13","69,925,000","69,239,000","70,637,000","66,800,000","0.51K","1.03%"
"2021- 10- 12","69,211,000","70,954,000","71,136,000","67,162,000","0.72K","-2.46%"
"2021- 10- 11","70,954,000","67,698,000","71,475,000","67,282,000","0.62K","4.81%"
"2021- 10- 10","67,698,000","67,047,000","68,965,000","66,350,000","0.49K","0.97%"
"2021- 10- 09","67,048,000","65,981,000","67,722,000","65,668,000","0.29K","1.62%"
